Full Name,Address,Consent Signed,Created,Current Filter,Email,Follow-up Notes,LINE ID,Last Assessment,Latest Water Score,Lifetime Value (฿),Next Follow-up,Package History,Phone,Property Age (yr),Property Type,Source,Staff Notes,Stage,Status,Total Assessments,Upsell Interest,Water Concerns
อภิชาติ คำดี,นนทบุรี,false,2026-03-27,High Value,user20@water.co.th,-,line20_90,2026-05-3,80,23765,2026-07-10,Standard,0997970447,4,ทาวน์โฮม,Website,-,Consulting,Active,5,High,มีกลิ่น
วริศา พูลทรัพย์,นนทบุรี,false,2026-02-11,Warm Lead,user21@water.co.th,-,line21_26,2026-05-24,65,58777,2026-07-7,Premium,0978188461,12,ทาวน์โฮม,Ads,-,Consulting,Pending,2,Medium,คลอรีน
นภัสสร บุญมี,ระยอง,true,2026-01-17,Loyal Customer,user22@water.co.th,-,line22_78,2026-05-12,87,18087,2026-07-2,Premium,0825364751,8,ทาวน์โฮม,Website,-,Customer,Inactive,1,Low,ตะกอน
ชัชวาล วัฒนะ,กรุงเทพฯ,false,2026-01-13,Needs Follow-up,user23@water.co.th,-,line23_38,2026-05-27,67,38143,2026-07-9,Standard,0845338175,2,คอนโด,Ads,-,Lead,Inactive,2,Medium,มีกลิ่น
อิทธิพล สุขเกษม,กรุงเทพฯ,false,2026-01-10,High Value,user24@water.co.th,-,line24_41,2026-05-5,66,23180,2026-07-8,Basic,0965755745,9,บ้านเดี่ยว,Website,-,Consulting,Active,1,Low,ตะกอน
เกศรินทร์ แก้วดี,ชลบุรี,true,2026-03-16,Needs Follow-up,user25@water.co.th,-,line25_87,2026-05-16,74,48121,2026-07-2,Standard,0842249823,5,บ้านเดี่ยว,Referral,-,Lead,Pending,4,High,คลอรีน
วีรภัทร จิตดี,ระยอง,false,2026-02-27,High Value,user26@water.co.th,-,line26_43,2026-05-14,77,31941,2026-07-8,Standard,0908096727,10,คอนโด,Website,-,Consulting,Pending,3,Low,ตะกอน
จุฑามาศ ศรีทอง,ปทุมธานี,false,2026-03-18,Warm Lead,user27@water.co.th,-,line27_14,2026-05-9,77,22120,2026-07-4,Standard,0874998860,4,ทาวน์โฮม,Ads,-,Lead,Active,1,Low,น้ำกระด้าง
ปรีชา แสนดี,ระยอง,true,2026-02-20,Loyal Customer,user28@water.co.th,-,line28_73,2026-05-19,87,13354,2026-07-11,Basic,0873302945,6,บ้านเดี่ยว,Referral,-,Lead,Active,4,Low,น้ำกระด้าง
กนกวรรณ นาคทอง,กรุงเทพฯ,false,2026-02-13,Loyal Customer,user29@water.co.th,-,line29_47,2026-05-26,83,35455,2026-07-1,Basic,0928319658,8,บ้านเดี่ยว,Facebook,-,Customer,Pending,3,Medium,ตะกอน
